"region","dealer_code","dealer_name","channel_name","case_id","description","created_on","created_by","updated_on","updated_by","reason_code","case_owner","status","case_sub_type_id","case_closure_date","escalation_level"
"SOUTH 1","14990 - PLH","CRESCO (A UNIT OF NEXGEN VENTURES PVT LTD).","Arena","B4761144519","customer called and said he renewed the S connect subscription but device is not activated  customer driven the vehicle also ask to share the payment details and app screenshot customer agreed.  ","2026-06-16 11:38:39.981379","81113795@maruticrm.onmicrosoft.com","2026-06-16 11:38:39.981379","81113795@maruticrm.onmicrosoft.com","OPEN","Query-Suzuki Connect-Gen 2","OPEN","1",NULL,NULL
"CENTRAL 1","10061 - GAZ","COMPETENT AUTOMOBILES CO. LTD.","Nexa","B9188709940","The customer received an SMS saying that their contact number was updated at the workshop based on their request. However, the customer never made any such request to update their number. The phone number added at the workshop is 9910374327 COMPETENT AUTOMOBILES CO. LTD. PLOT NO.3, GAZIPUR, DELHI. PIN: 110096 and hence raise a query.","2026-06-16 11:39:50.593627","81112789@maruticrm.onmicrosoft.com","2026-06-16 11:39:50.593627","81112789@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 1","13170 - BIO","SHAKUMBARI AUTOMOBILES PVT LTD","Arena","B0619176365","Customer gave his vehicle for accidental repair and they didn't talk with customer properly and not showing any hierarchy on CRM so i have shared Dealer's no. hence raise query .","2026-06-16 11:40:20.814257","1154587@maruticrm.onmicrosoft.com","2026-06-16 11:40:20.814257","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 3","13363 - DIB","VISHAL CAR WORLD PVT LTD","Nexa","B6266945831","Customer concern was related to the service and he was saying that they are delaying to service the car. I have took the details of the dealer and told him that I will raise the concern from my end and you will get the update as quick as possible. Hence raised the concern.","2026-06-16 11:40:28.924353","81130307@maruticrm.onmicrosoft.com","2026-06-16 11:40:28.924353","81130307@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","13440 - NAU","PLATINUM MOTOCORP LLP","Arena","B1884189668","customer want to know about RC related so share the information QCM number share .","2026-06-16 11:44:11.269824","1154854@maruticrm.onmicrosoft.com","2026-06-19 09:36:51.741267","ccmmanesar@platinummotocorp.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 4","11369 - CSR","OCEAN MOTORS PVT. LTD","Arena","B1340118509","""The customer states that their TDS (Tax Deducted at Source) is still not reflecting online. They purchased a vehicle and wish to deposit the tax amount, but the TDS details are not showing up. The dealership had previously promised that they would file and clear the TDS on their end. The customer is highly distressed about this delay. An escalation has been raised for this issue, and the Quality Control Manager's contact number has been shared with the customer.""","2026-06-16 11:44:37.518671","1158162@maruticrm.onmicrosoft.com","2026-06-18 09:28:09.664166","ocean.ind.ccmsal1@marutidealers.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 3","15295 - KWR","TECHNOY MOTORS","Arena","B1934550787","The vehicle was serviced three months ago ; His car has covered 1,300 to 1,500 km., but the engine oil has run out  so i have shared CCM no. through SMS hence raise query .","2026-06-16 11:46:34.312643","1154587@maruticrm.onmicrosoft.com","2026-06-16 11:46:34.312643","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","10139 - HMP","MY CAR PVT. LTD.","Arena","B7563145834","Customer concern was related to the service and he was saying that they have not serviced properly. I have took the details of the dealer and told him that I will raise the concern from my end and you will get the update as quick as possible. Hence raised the concern.","2026-06-16 11:46:57.927113","81130307@maruticrm.onmicrosoft.com","2026-06-16 11:46:57.927113","81130307@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 3","10720 - RAJ","ATUL MOTORS PVT. LIMITED","Arena","B6310211830","The customer called stating that they referred someone for a vehicle purchase but have not received their referral points yet. I have shared their details with the dealership team to assist them further.","2026-06-16 11:47:11.963517","81116913@maruticrm.onmicrosoft.com","2026-06-18 13:18:01.178859","Partha.Das@maruti.co.in","Close","Query - Sales","Close","1","2026-06-18 13:18:01.178873","First Level"
"CENTRAL 4","16087 - SEZ","SRISATYASAI AUTOMOBILES PVT LTD","Arena","B9147164698","The customer booked a Maruti Swift Vxi (O) model at Sri Satya Sai Automobiles in Bhopal on May 12, but they have still not received any confirmation regarding the vehicle's delivery. Despite regular follow-ups, the dealership repeatedly claims that Maruti has not yet dispatched the car. The customer needs an urgent update on the exact reason for this delay so they can decide whether to cancel the order and choose an alternative vehicle.","2026-06-16 11:47:43.681989","81115533@maruticrm.onmicrosoft.com","2026-06-19 09:47:44.849486","qcmsales.arena@srisatyasai.co.in","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 1","12403 - DEQ","RANA MOTORS PVT. LTD","Nexa","B9445910972","Customer concern VOC: Dear Maruti Suzuki Customer Care Team, I am writing to formally register a complaint regarding the highly unsatisfactory experience I had today at Rana Motors located at: Rana Motors B-242, Pocket A, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India I visited the service center today with my vehicle (DL 3C DB 3394) for body repair work. I arrived at approximately 3:30 PM expecting to discuss the repairs and receive assistance. Unfortunately, from the moment I arrived, the staff displayed a lack of professionalism and interest in helping me. No one was willing to properly discuss the required repairs or guide me through the process in a respectful and customer-friendly manner. Due to this experience, I decided not to proceed with the repair work. However, the situation became even more frustrating afterward. Despite informing the staff of my decision and requesting my vehicle back, there was little to no cooperation in helping me get my car out of the service line. The staff showed no urgency or interest in facilitating the vehicle’s release, and I was left waiting unnecessarily for an extended period. Although I had arrived at around 3:30 PM, I was only able to leave the service center at approximately 6:00 PM. Spending nearly two and a half hours merely to retrieve my vehicle after deciding not to proceed with the repairs is completely unacceptable. The entire process appeared disorganized, poorly managed, and lacking in basic customer service standards. As a Maruti Suzuki customer, I expect authorized service centers to treat customers with respect and handle their concerns efficiently. My experience at Rana Motors fell far short of these expectations and caused significant inconvenience and frustration. I request that this matter be investigated and that appropriate corrective action be taken. I would also appreciate being informed of the outcome of your investigation. Vehicle Number: DL 3C DB 3394 Service Center: Rana Motors B-242, Pocket A, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India Sincerely, ======================================================== Synopsis : Customer is highly dissatisfied with service of his vehicle from the concerned workshop. The customer lodged a formal complaint against Rana Motors in Okhla, New Delhi, regarding an highly unsatisfactory and unprofessional experience today while bringing their vehicle in for body repair work. Upon arrival, the service center staff displayed complete indifference and a lack of cooperation, refusing to properly discuss the required repairs or assist the customer. This poor treatment prompted the owner to cancel the service; however, the staff then showed no urgency in releasing the car, leaving the customer trapped in the service line for nearly two and a half hours just to retrieve their vehicle. The owner has requested a formal investigation into the workshop's disorganized management and poor customer service standards.
","2026-06-16 11:47:49.667614","1156531@maruticrm.onmicrosoft.com","2026-06-16 11:47:49.667614","1156531@maruticrm.onmicrosoft.com","OPEN","Query-MSGP","OPEN","1",NULL,NULL
"SOUTH 1","11917 - GDC","VISHNU CARS PVT. LTD.","Nexa","B8027609791","The customer stated that they took delivery of their car on April 14th and left it for service two weeks ago, but it has still not been delivered and the staff are only offering excuses; therefore, I have provided them with the CCM's and WM contact number. ","2026-06-16 11:48:26.096256","1154246@maruticrm.onmicrosoft.com","2026-06-16 11:48:26.096256","1154246@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 2","17247 - CT9","HINDUSTAN AUTO AGENCY","Nexa","B4545934024","""The customer is extremely upset because they booked the vehicle around May 1st to 5th, but they have still not received any details about the vehicle. Furthermore, the dealer is not picking up their phone calls. Please check this urgently and resolve it quickly.""","2026-06-16 11:48:32.598504","1154261@maruticrm.onmicrosoft.com","2026-06-18 12:05:24.680098","Inderjeet1@maruti.co.in","Close","Query - Sales","Close","1","2026-06-18 12:05:24.680113","First Level"
"NORTH 3","10360 - FGS","S B CARS PVT. LTD.","Nexa","B7559563719","Customer concern voc emaill;Hi, I have ordered a set of wheels cover on 16th May 2026, I am still unable to get the status of same. Earlier Iodgea complaint on toll free number but no progress made till date. Seems that no one is caring the customers in Maruti. payment was made but delivery not received yet. Order No:
MSGA000408774 Pls have a look.=============synopsis voc ==========Customer owns a xl6.The customer ordered a set of wheel covers (Order No: MSGA000408774) from Maruti on 16th May 2026, making the full payment, but has not yet received the delivery. Despite lodging a complaint via the toll-free helpline, no progress has been made, and the customer remains unable to get any status update on the order. This total lack of response and communication has left the customer feeling neglected and ignored. kindly look into this matter","2026-06-16 11:51:25.61682","81111276@maruticrm.onmicrosoft.com","2026-06-16 11:51:25.61682","81111276@maruticrm.onmicrosoft.com","OPEN","Query- Accessories","OPEN","1",NULL,NULL
"NORTH 3","10018 - CHG","KTL PVT. LTD.","Arena","B3188309431","1. Mobile Number used for login : 9414767683
2. Vehicle Registration number :  rj25ta3691
3. Vehicle model name :  MARUTI DZIRE VXI CNG 1.2L 5MT

The customer reported that the new Maruti Suzuki application is incorrectly displaying their vehicle status as ""booked ""  status, preventing them from accessing their service details. Because their information has not been updated system-wide, the customer is currently unable to view any of their past or current service history. Please prioritize this request and update the customer's vehicle details in the new application as quickly as possible so they can access their data.","2026-06-16 11:52:05.948488","81111034@maruticrm.onmicrosoft.com","2026-06-19 08:53:26.775811","Satyam.Sharma@maruti.co.in","Close","Query - Sales","Close","1","2026-06-19 08:53:26.775824","First Level"
"CENTRAL 3","11151 - BUN","BHATIA & COMPANY (A UNIT OF BHATIA CORPORATION PVT. LTD.)","Arena","B8588162132","VOC: मैंने दिनांक 27 3 2026 को जिला बूंदी राजस्थान भाटिया शोरूम से एक वेगनर कार खरीदी थी जिसका पेमेंट मैंने कर दिया था मैं जब कार खरीदी थी तो मेरी पुरानी कार राज 20 सीसी 0384 स्क्रैप में कंपनी को दी थी मेरी स्क्रैप कार में दो चालान₹1000 के कुल ₹2000 के बकाया थे पर कंपनी ने मेरे से₹2000 चालान के एक्स्ट्रा लिए जिसकी मुझे कोई रसीद नहीं दी लेकिन मेरे द्वारा चेक करने पर वह चालान अभी तक भी पेंडिंग बोल रहे हैं कंपनी से बार-बार संपर्क करने पर बोलते हैं कि आपके पैसे रिटर्न हो जाएंगे मगर 2 महीने से ज्यादा हो गए हैं ना तो मेरे पैसे रिटर्न हो रहे हैं और ना ही चालन हट रहा है कृपया करके मेरी समस्या का समाधान करें pin code no 323001. Mo. No. 8209004026============================================================================Synopsis: The Customer purchased a Maruti Suzuki WagonR from the Bhatia Showroom in Bundi, Rajasthan (PIN: 323001) on March 27, 2026, and traded in an old vehicle (Registration No. RJ20CC0384) for scrapping. During the transaction, the dealership collected an additional ₹2,000 in cash from the customer to clear two outstanding traffic fines (challans) of ₹1,000 each on the scrapped car, but failed to provide an official receipt for this payment. Upon verification, the buyer discovered that the challans remain unpaid, and despite repeated follow-ups over the past two months, the dealership has neither cleared the fines nor refunded the money, repeatedly offering unfulfilled assurances of a refund. Kindly look into the concern. ","2026-06-16 11:52:08.05009","81110970@maruticrm.onmicrosoft.com","2026-06-18 13:35:40.579495","bhatia.kot.ccm1@marutidealers.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"WEST 2","14663 - MRJ","SIDDHI WHEELS (A UNIT OF TARALEKAR MOTORS PVT. LTD.)","Arena","B6479253691","The customer stated that they wanted information regarding their TCS refund, so I have provided them with the CCM's contact number.","2026-06-16 11:52:26.746736","1154246@maruticrm.onmicrosoft.com","2026-06-18 05:45:32.721575","umesh.jadhav1170@gmail.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"WEST 1","15176 - BOS","SHIVAM AUTOZONE INDIA PRIVATE LIMITED","Nexa","B5559100292","customer called to report a fuel pump failure in their vehicle, which was purchased only 5 month ago. They expressed frustration over how this could happen so soon and mentioned that the workshop is quoting a 15-day timeline to arrange the spare part. Furthermore, the workshop denied providing a loaner car, stating none are available. I assured the customer that  relevant team will coordinate with them to provide assistance","2026-06-16 11:52:29.205777","81122553@maruticrm.onmicrosoft.com","2026-06-16 11:52:29.205777","81122553@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","12370 - BOG","LOVELY AUTOS","Arena","B6421350646","Customer having low milage related issue in his vehicle and on hieway his vehicle giving milage of 12 so i have shared CCM no. hence raise query .","2026-06-16 11:52:30.637752","1154587@maruticrm.onmicrosoft.com","2026-06-16 11:52:30.637752","1154587@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","10008 - MKN","ROHAN MOTORS LTD","Nexa","B6908708743","ustomer stated that they had availed vehicle servicing, but the service was not satisfactory according to them. They reported that the wheel alignment was not done properly, the air conditioning is not functioning well after service, and they were overcharged for the servicing. The customer mentioned that they had already raised a query regarding these issues but did not receive any resolution. Furthermore, they highlighted that they spoke with the Workshop Manager and the General Manager (Ms. Manisha Chaudhry), during which they experienced unprofessional behavior. The customer is highly distressed and, due to being dissatisfied with the service, is now registering their case as a formal complaint.","2026-06-16 11:52:44.061961","81113855@maruticrm.onmicrosoft.com","2026-06-16 11:52:44.061961","81113855@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","16150 - WKL","SINGLA LINK AGENCY PVT LTD","Nexa","B5742346648","The customer had booked a vehicle. During the Pre-Delivery Inspection (PDI), the customer discovered multiple dents on the vehicle's bonnet and stated that they wanted a different car. The dealership agreed to provide a replacement, noting that it would take some time upto 3 -4 weeks , but the new vehicle would not be available at the original price; the price would increase. Although the customer had already paid a booking amount of ₹1 lakh, they are now being asked to pay the additional cost. Furthermore, the person SM contact details were provided has already left that job two years ago; they used to work at Kia.   QCM number shared.","2026-06-16 11:54:09.855166","1170277@maruticrm.onmicrosoft.com","2026-06-18 08:21:25.626019","1170277@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,"First Level"
"WEST 1","10174 - MID","JAGRUT MOTORS PVT LTD","Arena","B2750568748","Customer VOC:My name is Sushant Babar, Proprietor of B&B Tours and Travels. I am writing to express my serious concern regarding the inordinate delay in repairing my Maruti Suzuki Ertiga (Registration No. MH46CU3497), which met with an accident near Hatkhamba, Ratnagiri. The vehicle was inspected by the police on 16/05/2026 and 18/05/2026. Subsequently, on 18/05/2026, I delivered the vehicle to Jagrut Motors, Ratnagiri, for insurance claim processing and repairs. Mr. Amay Salvi was assigned as my service advisor. From 18/05/2026 to 26/05/2026, all insurance-related inspections and queries were completed. SBI General Insurance approved the claim in full, and the approval was communicated to both the workshop and me. Despite receiving complete insurance approval, the repair work has still not commenced. The only reason repeatedly provided by the service centre is that the required spare parts are not available from Maruti Suzuki. It has now been approximately one month since the accident, and there is no clear timeline being provided for the repairs. During this period, I have personally travelled to Ratnagiri 3–4 times from my location, covering nearly 400 km each trip, only to follow up on the status of my vehicle. I have repeatedly requested assistance from the workshop staff and management, but I have not received any satisfactory response or commitment regarding the completion of repairs.
This vehicle is a tourist vehicle and serves as an important source of income for my household and business. I have always maintained and serviced my vehicles at authorised Maruti Suzuki service centres and have chosen Maruti Suzuki insurance-related services to ensure a hassle-free experience. Had I opted for a third-party insurance provider or an independent garage, I might have received my vehicle much earlier and at a lower cost. I have been a loyal Maruti Suzuki customer for the past 15 years and currently own six Maruti Suzuki vehicles. Such treatment from an authorised service centre is extremely disappointing and is causing significant financial loss and inconvenience to my business. I request Maruti Suzuki to: 1. Immediately investigate this matter. 2. Arrange the required spare parts on priority. 3. Provide a written update regarding the status of parts procurement and repair timeline. 4. Ensure that Jagrut Motors, Ratnagiri, responds appropriately and takes responsibility for resolving this issue. I look forward to your urgent intervention and a prompt resolution.================synopsis============The customer concern regarding an inordinate repair delay and severe business income loss has been formally escalated by Sushant Babar, Proprietor of B&B Tours and Travels, against Jagrut Motors in Ratnagiri. The customer reported that his commercial tourist vehicle, a Maruti Suzuki Ertiga (Registration No. MH46CU3497), was delivered to the workshop on May 18, 2026, following an accident, and received full claim approval from SBI General Insurance by May 26, 2026. However, the workshop has failed to commence repair work over the last month, repeatedly citing the non-availability of spare parts from Maruti Suzuki while providing no clear completion timeline. Despite the customer traveling 400 km multiple times to follow up, the workshop management has offered no satisfactory response, prompting this 15-year loyal fleet customer to demand immediate priority parts procurement, a written status update, and swift corporate intervention to mitigate ongoing financial damage to his business. Kindly look into this matter.","2026-06-16 11:55:05.486159","81109941@maruticrm.onmicrosoft.com","2026-06-16 11:55:05.486159","81109941@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 1","10022 - INJ","ABT LIMITED","Arena","B0258908138","Customer is too much frustrated with the dealer as he has sold this car but still getting service calls from the dealer please resolve the issue asap. ","2026-06-16 11:55:36.199417","1154261@maruticrm.onmicrosoft.com","2026-06-16 11:55:36.199417","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"EAST 1","10888 - CPK","MANOCO SALES (P) LTD.","Arena","B4080943769","Customer has concern regarding. the customer has done the service on 01/06/2026 but after service customer has not satisfied with the service. hence raise a concern.","2026-06-16 11:56:40.871866","81102452@maruticrm.onmicrosoft.com","2026-06-16 11:56:40.871866","81102452@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"SOUTH 2","10028 - JLR","RNS MOTORS LTD","Arena","B0960839920","The customer said that their car's defective tyre was replaced by the service center, but they were charged for it; the customer paid the charges but disagreed with the decision, arguing that it should have been covered under warranty, which left them highly irritated so i have shared WM
Shaktiraj 9538965771. through SMS hence raise query .
","2026-06-16 11:56:44.810908","1170278@maruticrm.onmicrosoft.com","2026-06-16 11:56:44.810908","1170278@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"WEST 2","13310 - JLG","MANRAJ AUTOMOBILES PVT LTD","Nexa","B1165199001","customer want to know about on road price of the hance raised query.","2026-06-16 11:57:25.165106","1158162@maruticrm.onmicrosoft.com","2026-06-18 09:07:59.624148","manraj.jal.qm1@nexadealer.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 1","10933 - KGR","AAA VEHICLEADES PVT LTD","Nexa","B3024971639","The customer called to register an urgent issue regarding a total vehicle starting failure that occurred just one day after receiving it from a periodic maintenance service. The workshop team has now informed the customer that the battery has completely failed and needs to be replaced. The customer strongly argues that if the battery was failing, it should have been diagnosed and communicated to them during the service inspection. Since they require their vehicle immediately, the customer has proposed a temporary solution: they are requesting the workshop to install a standby or replacement battery for a few days, promising to return and buy a brand-new battery by this upcoming Sunday. Kindly arrange an immediate callback from the service head to evaluate this request and deliver a swift resolution.","2026-06-16 11:57:44.43017","81122780@maruticrm.onmicrosoft.com","2026-06-16 11:57:44.43017","81122780@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 1","10177 - GKN","RANA MOTORS","Nexa","B1700668338","I want resolution as soon as possible.
I have already waited so long. <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< Synopsis >>>>>>>>>>>>>>>>>>>>>>> The customer has raised a concern regarding unexpected damage to the front windshield of their Maruti Suzuki Grand Vitara and is requesting immediate assistance with the insurance claim process. They note that the long crack developed suddenly and unexpectedly while the vehicle was parked normally, with no accident or stone impact observed. Having provided photographs of the damage for reference, the customer is requesting an official inspection of the vehicle alongside clear guidance on the necessary claim procedures and documentation to initiate the repair. Kindly look into this matter as earlier. Customer issue still not resolved. This process is causing unnecessary delays and inconvenience to the customer. Kindly assist the customer at the earliest.","2026-06-16 11:58:48.776522","81109565@maruticrm.onmicrosoft.com","2026-06-16 11:58:48.776522","81109565@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"WEST 2","10806 - GDL","CHOWGULE INDUSTRIES PVT. LTD.","Arena","B6140011256","""The customer states that there is an unusual noise issue coming from the vehicle's silencer. They had already notified the dealership about this problem 6 months ago. The dealership claims they have sent an email to Maruti regarding this, but no response has been received yet. The customer is highly distressed and worried that once the vehicle's warranty expires, the company will refuse to cover this repair under warranty. Therefore, they are demanding the General Manager's contact number to resolve this issue.""","2026-06-16 11:59:00.40299","1158162@maruticrm.onmicrosoft.com","2026-06-16 11:59:00.40299","1158162@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","16979 - ETA","KTL PVT. LTD.","Arena","B2257851596","The customer purchased their car 35 days ago, and the dealership had promised that the Registration Certificate (RC) would be received within 30 days. However, even after this period, the customer has not yet received the RC. The customer is unhappy with the delay and wants the dealership to provide the RC at the earliest.","2026-06-16 11:59:09.184817","1157614@maruticrm.onmicrosoft.com","2026-06-18 08:43:57.759008","1157614@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,"First Level"
"SOUTH EAST 2","10006 - CTC","SKY AUTOMOBILES","Arena","B0621807442","Customer is escalating a formal grievance to the Maruti Suzuki Customer Support Head regarding persistent engine warning light issues in his six-month-old Wagon R LXI CNG (OD05CD7608). Despite multiple visits to the authorized service center in Bidanasi, Cuttack, the technical team has failed to diagnose the root cause, leading to significant financial loss and mental stress as the vehicle is a primary source of commercial income. He expresses deep dissatisfaction with the recurring fault and demands an immediate inspection by a senior expert, a permanent written resolution, and a clear explanation for the failure of such a new vehicle. Mr. Behera warns that if the matter is not addressed within 48 hours, he will be forced to escalate the grievance to higher management and the consumer forum. Customer is extremely disappointed by the unresolved issues with his new commercial vehicle, which has been at the service center for 11 straight days—and 31 total days across visits. This extensive downtime is causing severe financial loss and mental distress as we must still cover EMIs, driver salaries, and daily expenses. Furthermore, your team lacks coordination; Branch Manager Mr. Gulsan Swain blamed a spare parts shortage, while the Odisha head office gave a completely contradictory explanation. Because the defect remains unidentified and our trust is destroyed, we refuse to accept this faulty car back. We demand a brand-new replacement vehicle and per-day commercial compensation for our 31 days of lost livelihood.","2026-06-16 11:59:18.686398","81110966@maruticrm.onmicrosoft.com","2026-06-16 11:59:18.686398","81110966@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","2",NULL,NULL
"SOUTH EAST 2","12230 - KEO","JYOTE MOTORS PVT LTD","Arena","B0459217943","Customer concern was related to the car delivered to him. He was saying that they have not provided him the seat cover to him and he wanted the seat cover. I have took the dealer details and told him that I will raise the concern from my end and you will get the update as quick as possible. Hence raised the concern","2026-06-16 11:59:19.641561","81130307@maruticrm.onmicrosoft.com","2026-06-18 11:03:34.358484","patnaik.sarmistha@gmail.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"SOUTH 2","10156 - KKP","BIMAL AUTO AGENCY INDIA PVT. LTD.","Nexa","B1661978690","""The customer is extremely upset because their vehicle has been sitting at the service station for a very long time, but they have still not received a resolution. The customer is highly frustrated now. Please check this immediately and get it resolved as quickly as possible.""","2026-06-16 11:59:20.449046","1154261@maruticrm.onmicrosoft.com","2026-06-16 11:59:20.449046","1154261@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 2","11104 - BML","JAMKASH VEHICLEADES (KASHMIR) PVT LTD","Arena","B6389493783","The customer called to register a grievance regarding a delay in receiving their vehicle's Registration Certificate (RC) . Upon reviewing the account details, I found that the standard operational waiting period for the document is up to 180 days. I informed the customer about this mandatory processing timeline and requested them to wait. However, the customer is extremely irritated by this lengthy delay and insisted on lodging a formal query . I have successfully registered a formal query/grievance in the system on behalf of the customer . Kindly ensure that the showroom management team establishes immediate contact with the customer to provide an accurate update regarding their RC status and expedite the dispatch process.","2026-06-16 11:59:32.367643","81122780@maruticrm.onmicrosoft.com","2026-06-19 12:17:30.040248","customercare.jamkash@gmail.com","Close Initiated","Query - Sales","Active","1",NULL,"First Level"
"SOUTH 1","13041 - NAA","MEENAKSHI AUTO ZONE PVT. LTD.","Arena","B9793468696","customer called to report that the workshop informed them that free services are not provided on Wednesdays and Saturdays. I provided the Workshop Manager's contact number to the customer and assured them that relevant team will coordinate with them as soon as possible to assist","2026-06-16 11:59:47.475065","81122553@maruticrm.onmicrosoft.com","2026-06-16 11:59:47.475065","81122553@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"NORTH 3","15663 - LKL","KTL PVT. LTD","Arena","B2448786257","The customer visited the dealership to get their vehicle serviced and specifically requested installation of a number plate and FASTag. However, the dealership turned them away, saying that they do not provide these services. The customer is disappointed and wants to know why such basic requirements were not handled at the dealership.","2026-06-16 11:59:57.954152","1157614@maruticrm.onmicrosoft.com","2026-06-16 11:59:57.954152","1157614@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
"CENTRAL 2","13261 - GAO","VIPUL MOTORS PVT. LTD.","Nexa","B0837462152","Customer is requesting a detailed breakdown and justification for the refund of his Extended Warranty, which he cancelled through Vipul Motors in April. Although the original purchase price was ₹14,915, he received a partial refund of ₹9,976 after two months of repeated follow-ups, with no explanation for the deduction. Despite multiple requests, the dealership has failed to provide a calculation sheet showing the original amount, cancellation charges, pro-rata deductions, and GST adjustments. He request immediate delivery of this detailed refund calculation and an explanation for the missing amount.  Kindly look into this matter regards .","2026-06-16 12:00:48.488254","81109564@maruticrm.onmicrosoft.com","2026-06-18 06:21:10.014158","81109564@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 1","15287 - RTX","FAIR DEAL PREMIUM WHEELS PVT. LTD.","Nexa","B5974966623","Customer called & said thathe is unable to login in his Suzuki connect application. As checked enrolment is pending. Inform customer for the same & also inform that enrolment will be done at dealership only. And after complete the enrolment processhe has to drive his vehicle for the activation after thathe able to login in his Suzuki connect application. So asked customer for dealership details & Customer shared the same. 
","2026-06-16 12:01:13.110818","81105390@maruticrm.onmicrosoft.com","2026-06-18 08:39:45.812611","81105390@maruticrm.onmicrosoft.com","New","Query - Sales","Active","1",NULL,"First Level"
"CENTRAL 1","50327 - PRV","RANA MOTORS PVT LTD","True Value","B5565580573","Customer concern VOC : Hello, 
           My car wagon r vxi 2016 modal Car No HR26CW2673 emission norms are not correct in RC . It is Euro 2 which should be Euro 4 . Please tell me the details you need so that i can get essential document from you so that i can change it in my Rc. =======================================================
Synopsis :  Customer (Registration No. HR26CW2673) is seeking to correct an error on the vehicle's Registration Certificate (RC), which mistakenly lists the emission norms as Euro 2 instead of Euro 4. The owner is requesting a list of the necessary details required by the company to issue the essential official document needed to update and correct this information with the Regional Transport Office (RTO).","2026-06-16 12:01:48.570716","81109563@maruticrm.onmicrosoft.com","2026-06-16 12:01:48.570716","81109563@maruticrm.onmicrosoft.com","OPEN","Query-True Value","OPEN","1",NULL,NULL
"SOUTH 2","10156 - WF1","BIMAL AUTO AGENCY INDIA PVT. LTD.","Nexa","B9031439134","vehicle was handed over to the workshop with an initial commitment of a 4 to 5-day repair timeline. However, General Manager Mr. Raghavendra subsequently contacted the customer to inform them that the required parts are unavailable, causing an indefinite delay in delivery. The customer is highly frustrated by this sudden breach of commitment and now demands the immediate return of their vehicle, regardless of whether the repair work is completed or not. I have shared the contact number of a senior authority with the customer. Kindly intervene urgently to address this grievance and facilitate the resolution requested by the customer","2026-06-16 12:01:53.565124","1153945@maruticrm.onmicrosoft.com","2026-06-16 12:01:53.565124","1153945@maruticrm.onmicrosoft.com","OPEN","Query- Service","OPEN","1",NULL,NULL
